Date,Open,High,Low,Volume,Dividends,Stock Splits,Daily_Return,MA_5,MA_20,MA_60,Volatility,Volume_MA_5,High_Low_Ratio,Open_Close_Ratio,Volume_Change
2020-10-23 00:00:00+09:00,53823.59099875415,53823.59099875415,53288.919564991695,9322232,0.0,0.0,0.0016637731217674645,53841.4125,52958.246875,51640.3638671875,0.010081733529384625,14624174.0,1.0100334448160535,1.0033222591362125,-0.34782635766727454
2020-10-26 00:00:00+09:00,53823.58984375,54447.37316975373,53556.25413260555,13268226,0.0,0.0,0.0033222376058510417,53912.7015625,53072.1244140625,51716.7021484375,0.009142768859240832,14382822.2,1.016638935108153,1.0,0.42328854291547335
2020-10-27 00:00:00+09:00,53734.48142244983,53734.48142244983,53021.5861465301,17260416,0.0,0.0,-0.009933710670398277,53716.65703125,53141.555078125,51739.845703125,0.009457977480374751,13969682.4,1.0134453781512605,1.008361204013378,0.3008834790724848
2020-10-28 00:00:00+09:00,52932.46712129237,52932.46712129237,52397.795736228814,14428882,0.0,0.0,-0.013378059053667068,53378.03203125,53210.767578125,51745.203125,0.009435264876042002,13714770.2,1.010204081632653,1.006779661016949,-0.16404784218410495
2020-10-29 00:00:00+09:00,51863.127527969016,52130.46323687607,51239.34420718589,22636966,0.0,0.0,-0.015254176968899413,53021.5828125,53235.4515625,51737.19381510417,0.010139857056943568,15383344.4,1.017391304347826,1.001721170395869,0.5688648642354965
2020-10-30 00:00:00+09:00,51684.91055653711,51684.91055653711,50437.34375,26907844,0.0,0.0,-0.025817427117910574,52379.978125,53164.1623046875,51723.1439453125,0.011381053966020538,18900466.8,1.0247349823321557,1.0247349823321557,0.18866830475426788
2020-11-02 00:00:00+09:00,50259.11914743031,51239.35019463197,49902.67149390244,20489076,0.0,0.0,0.014134260019392775,51845.3078125,53128.5177734375,51737.21302083333,0.011895277730209411,20344636.8,1.0267857142857142,0.9825783972125435,-0.23854635101942767
2020-11-03 00:00:00+09:00,51595.79747289541,52486.91660023384,51328.46173469388,14950919,0.0,0.0,0.024390236451885983,51667.084375,53132.9736328125,51764.694140625,0.013011695699421162,19882737.4,1.0225694444444442,0.9846938775510203,-0.27029803588995427
2020-11-04 00:00:00+09:00,52486.91246661325,52576.02437232906,51506.68150373932,21718561,0.0,0.0,-0.005102119169770769,51577.9734375,53110.6958984375,51793.62415364583,0.01300781273897038,21340673.2,1.0207612456747406,1.0068376068376068,0.4526572580588524
2020-11-05 00:00:00+09:00,52576.02184390547,53734.4765625,52397.79804104478,20639475,0.0,0.0,0.030769181198703865,51970.065625,53128.5177734375,51833.050520833334,0.014377568301231793,20941175.0,1.0255102040816326,0.978441127694859,-0.049684967618250586
2020-11-06 00:00:00+09:00,54090.93321677413,54180.04513311148,53110.70213706323,16910230,0.0,0.0,-0.0033165828561242394,52593.84921875,53146.340625,51876.887109375,0.01437725850313731,18941652.2,1.0201342281879195,1.0099833610648918,-0.18068507072006434
2020-11-09 00:00:00+09:00,54090.92671563538,54269.150526889534,53556.25528187293,15892961,0.0,0.0,0.0016637731217674645,53092.875,53137.4294921875,51917.78040364583,0.014135283505520436,18022429.2,1.0133111480865222,1.0083056478405314,-0.060157017379420585
2020-11-10 00:00:00+09:00,53912.70290438123,53912.70290438123,53021.58384811047,19073552,0.0,0.0,0.0,53342.3875,53106.240625,51952.769205729164,0.013998470737095463,18846955.8,1.0168067226890756,1.004983388704319,0.20012576636914914
2020-11-11 00:00:00+09:00,54090.926227314434,54714.7095610726,53823.590512846655,25628510,0.0,0.0,0.018272416056430707,53841.4140625,53124.06328125,51992.28626302083,0.014614526463409605,19628945.6,1.0165562913907287,0.9902120717781402,0.3436673987100043
2020-11-12 00:00:00+09:00,54358.265625,54714.71326844263,54090.92989241803,19800573,0.0,0.0,-0.004893896684339816,53966.171875,53168.6193359375,52031.776106770834,0.014235432467375443,19461165.2,1.011532125205931,1.0,-0.2274005394773243
2020-11-13 00:00:00+09:00,54625.59650044501,56318.72265625,54358.2607916337,31508829,0.0,0.0,0.03606548164679424,54518.6640625,53333.4759765625,52114.2732421875,0.016060878715320102,22380885.0,1.0360655737704918,0.9699367088607594,0.5913089484834606
2020-11-16 00:00:00+09:00,57031.61387631976,59437.635086727,56942.50197963801,36354334,0.0,0.0,0.049050559271578864,55605.828125,53614.178125,52236.9068359375,0.019054407945533328,26473159.6,1.0438184663536776,0.9653092006033183,0.1537824525310032
2020-11-17 00:00:00+09:00,59704.97823915525,59704.97823915525,58457.411529680365,30204089,0.0,0.0,-0.009049649899132484,56586.059375,53828.0470703125,52359.486067708334,0.019160309708659586,28699267.0,1.021341463414634,1.0197869101978692,-0.16917501500646392
2020-11-18 00:00:00+09:00,58546.51882595486,58992.07832995756,57655.39981794946,22963790,0.0,0.0,-0.013698707825173795,57209.8421875,54001.8154296875,52504.1251953125,0.019550663356598788,28166323.0,1.0231839258114375,1.0138888888888888,-0.23971254355660254
2020-11-19 00:00:00+09:00,57120.73342564822,57744.51678599072,56942.50960840751,16590290,0.0,0.0,-0.00308633227116073,57851.44765625,54202.3169921875,52638.4134765625,0.019232895748860064,27524266.4,1.0140845070422537,0.9922600619195047,-0.2775456490413821
2020-11-20 00:00:00+09:00,56942.503248164605,58100.957930834615,56942.503248164605,15068682,0.0,0.0,0.00154787574732973,58118.7828125,54402.8185546875,52771.234635416666,0.01923358756558425,24236237.0,1.0203442879499216,0.9876352395672333,-0.0917167813220866
2020-11-23 00:00:00+09:00,57744.513750000006,60417.87086805556,57655.401846064815,27134398,0.0,0.0,0.043276723192795075,58332.65234375,54719.1658203125,52941.213151041666,0.02116142148610843,22392249.8,1.0479134466769706,0.9600000000000001,0.8007147539512747
2020-11-24 00:00:00+09:00,60506.98161696824,61932.77205271418,59704.97449686115,32158235,0.0,0.0,0.002962943817325092,58689.09921875,55071.1576171875,53114.16204427083,0.020851551701594584,22783079.0,1.037313432835821,1.0029542097488922,0.18514643295200428
2020-11-25 00:00:00+09:00,60506.97411669482,60863.42168144707,59259.40764006194,32447065,0.0,0.0,-0.016248275561989045,59009.90078125,55409.7826171875,53282.58248697917,0.02100435018165543,24679734.0,1.0270676691729324,1.0195195195195195,0.008981525260947976
2020-11-26 00:00:00+09:00,58902.97139820772,60596.09765625,58813.859489889706,19023323,0.0,0.0,0.02102121729158024,59615.86171875,55850.88671875,53474.748046875,0.0206091687074205,25166340.6,1.0303030303030303,0.9720588235294118,-0.4137120568532161
2020-11-27 00:00:00+09:00,60596.0848148827,60952.5323726173,60239.6372571481,14063434,0.0,0.0,0.0029409639299045054,60239.64375,56367.7349609375,53690.54967447917,0.019063685688683895,24965291.0,1.011834319526627,0.9970674486803519,-0.26072674053844325
2020-11-30 00:00:00+09:00,60952.53900393553,61130.76280219266,59437.63671875,43811016,0.0,0.0,-0.021994028495413653,60097.0640625,56782.1048828125,53881.12102864583,0.020277965947090134,28300614.6,1.0284857571214394,1.025487256371814,2.115243119141456
2020-12-01 00:00:00+09:00,59794.08389795354,60863.42668003318,59794.08389795354,22327173,0.0,0.0,0.016491747028710257,60114.8859375,57183.1080078125,54085.07727864583,0.020011556255170638,26334402.2,1.0178837555886735,0.9896755162241888,-0.4903753658668861
