Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-07-27 00:00:00+09:00,48091.92101084757,49331.860042434804,48091.92101084757,49243.29296875,21054421,0.0,0.0
2020-07-28 00:00:00+09:00,50483.235321565706,52077.44275277304,49951.83284449659,51900.30859375,48431566,0.0,0.0
2020-07-29 00:00:00+09:00,53405.94619306144,53494.51326800847,51900.305918961865,52254.57421875,36476611,0.0,0.0
2020-07-30 00:00:00+09:00,52874.54374337924,53228.812043167374,52254.57421875,52254.57421875,19285354,0.0,0.0
2020-07-31 00:00:00+09:00,52697.4091240285,52785.97619818653,51103.201789183935,51280.3359375,21943345,0.0,0.0
2020-08-03 00:00:00+09:00,51191.76441461268,51280.33148107395,50217.52668353873,50306.09375,21158940,0.0,0.0
2020-08-04 00:00:00+09:00,50660.370418848164,51457.47414921466,50483.2362565445,50748.9375,19419694,0.0,0.0
2020-08-05 00:00:00+09:00,50748.93235116432,50926.06649549648,49863.26162950351,50394.6640625,17739706,0.0,0.0
2020-08-06 00:00:00+09:00,50571.790995420255,51723.16276939655,50571.790995420255,51368.89453125,21625874,0.0,0.0
2020-08-07 00:00:00+09:00,51280.33469429348,51723.17005434782,50571.79811820652,50926.06640625,18751717,0.0,0.0
2020-08-10 00:00:00+09:00,51014.635380622836,51634.604907817906,50926.06830530925,51191.76953125,17774291,0.0,0.0
2020-08-11 00:00:00+09:00,51368.90490764605,52697.411069050686,51191.7707527921,51546.0390625,24907912,0.0,0.0
2020-08-12 00:00:00+09:00,51546.03761917373,52254.57421875,51103.20224443856,52254.57421875,18573934,0.0,0.0
2020-08-13 00:00:00+09:00,52608.84454855196,52785.97870528109,51368.90545144804,51988.875,22089460,0.0,0.0
2020-08-14 00:00:00+09:00,51368.89453125,51723.16276939655,51103.19335264008,51368.89453125,15672548,0.0,0.0
2020-08-18 00:00:00+09:00,52166.00725064212,53051.67800192637,51368.9035744863,51723.171875,25307825,0.0,0.0
2020-08-19 00:00:00+09:00,52254.574435012975,52431.70858564014,51191.76953125,51191.76953125,16930719,0.0,0.0
2020-08-20 00:00:00+09:00,51014.63989169675,51014.63989169675,48977.59697935469,49066.1640625,30386029,0.0,0.0
2020-08-21 00:00:00+09:00,49774.69732502236,50394.66686465787,49420.42901665921,49508.99609375,21142288,0.0,0.0
2020-08-24 00:00:00+09:00,49420.4276821524,50128.96427974599,49066.15938335561,49686.12890625,15055896,0.0,0.0
2020-08-25 00:00:00+09:00,49951.82421875,50306.092475620564,49686.12302609708,49951.82421875,14021705,0.0,0.0
2020-08-26 00:00:00+09:00,49951.82421875,50040.39128296764,49331.854769226506,49951.82421875,17651593,0.0,0.0
2020-08-27 00:00:00+09:00,49863.262484543615,49863.262484543615,49243.29296875,49243.29296875,16196568,0.0,0.0
2020-08-28 00:00:00+09:00,49686.13364451715,49863.26781080776,49066.1640625,49066.1640625,14619888,0.0,0.0
2020-08-31 00:00:00+09:00,49597.55208333333,49686.119140625,47826.2109375,47826.2109375,32671367,0.0,0.0
2020-09-01 00:00:00+09:00,47914.78839223939,48534.757927813655,47914.78839223939,48003.35546875,19363117,0.0,0.0
2020-09-02 00:00:00+09:00,48357.626349954044,48800.46175608916,47914.79094381893,48180.4921875,16905723,0.0,0.0
2020-09-03 00:00:00+09:00,49243.287705008865,50217.52541140292,49154.72064079122,49951.82421875,28384920,0.0,0.0
2020-09-04 00:00:00+09:00,48889.02467401079,49420.4271161196,48800.457600325986,49243.29296875,22139109,0.0,0.0
2020-09-07 00:00:00+09:00,49686.13012997787,50748.93505254425,49420.42889933628,50040.3984375,18685880,0.0,0.0
2020-09-08 00:00:00+09:00,50837.502981260644,51988.875,50660.36882453151,51988.875,31517520,0.0,0.0
2020-09-09 00:00:00+09:00,51546.037724743146,52520.27555115582,51191.76942422945,51723.171875,30597399,0.0,0.0
2020-09-10 00:00:00+09:00,53051.68444494299,53140.2515308277,52343.147757865285,52431.71484375,29923293,0.0,0.0
2020-09-11 00:00:00+09:00,52520.2754435911,52608.842518538135,51546.03761917373,52254.57421875,16017098,0.0,0.0
2020-09-14 00:00:00+09:00,53317.38146730132,53848.78394039735,53051.68023075331,53494.515625,20648281,0.0,0.0
2020-09-15 00:00:00+09:00,53937.350890112706,54025.91796875,53583.08257556352,54025.91796875,17877075,0.0,0.0
2020-09-16 00:00:00+09:00,54114.485047387294,54291.61920466189,53671.64965420082,54025.91796875,17041444,0.0,0.0
2020-09-17 00:00:00+09:00,53760.219051995795,53848.78613445378,52520.279897584034,52697.4140625,25108356,0.0,0.0
2020-09-18 00:00:00+09:00,52963.108795320404,53051.675866884485,52343.13929437184,52520.2734375,18884571,0.0,0.0
2020-09-21 00:00:00+09:00,52343.147757865285,53140.2515308277,52254.58067198058,52431.71484375,15140387,0.0,0.0
2020-09-22 00:00:00+09:00,52343.14275934279,52874.54522390464,51191.7707527921,51546.0390625,20830381,0.0,0.0
2020-09-23 00:00:00+09:00,51723.17443472696,52077.44275277304,50837.50363961178,51900.30859375,20111398,0.0,0.0
2020-09-24 00:00:00+09:00,51103.202455936414,51900.30613375865,51014.635380622836,51191.76953125,17564020,0.0,0.0
2020-09-25 00:00:00+09:00,51103.201789183935,51546.0371599741,51103.201789183935,51280.3359375,11444683,0.0,0.0
2020-09-28 00:00:00+09:00,51952.2408115872,52397.8003382732,51595.7931902384,51863.12890625,12614080,354.0,0.0
2020-09-29 00:00:00+09:00,51952.2408115872,52576.024148947596,51863.12890625,51863.12890625,15503563,0.0,0.0
2020-10-05 00:00:00+09:00,51239.344655025554,52754.24701873935,51239.344655025554,52308.6875,20228289,0.0,0.0
2020-10-06 00:00:00+09:00,52932.46712129237,53378.026608845335,52308.68383871822,52576.01953125,14463826,0.0,0.0
